trade_type,entry_time,entry_price,exit_time,exit_price,size,gross_pnl_inr,swap_charges_inr,fees_inr,mae_inr,net_pnl_inr,margin_inr,status
SHORT_ORIG,2024-10-31 13:45:00,35.06563,2024-10-31 13:45:00,34.06563,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
SHORT_ORIG,2024-10-31 14:30:00,34.56563,2024-10-31 14:30:00,33.56563,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
LONG,2024-10-31 14:30:00,32.56563,2024-11-01 13:00:00,33.06563,0.01000,2200.00000,-19.97000,88.74000,257.08540,2091.29000,79.46000,CLOSED_TP
SHORT_ORIG,2024-11-01 14:30:00,34.50317,2024-11-01 14:30:00,33.50317,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
SHORT_ORIG,2024-11-04 16:45:00,34.35760,2024-11-04 16:45:00,33.35760,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
SHORT_ORIG,2024-11-05 02:30:00,34.31919,2024-11-05 02:30:00,33.31919,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
LONG,2024-11-05 02:30:00,32.31919,2024-11-05 13:45:00,32.81919,0.01000,2200.00000,-0.00000,88.74000,278.04480,2111.26000,79.46000,CLOSED_TP
LONG,2024-11-04 16:45:00,32.35760,2024-11-05 14:30:00,32.85760,0.01000,2200.00000,-19.97000,88.74000,447.03560,2091.29000,79.46000,CLOSED_TP
SHORT_ORIG,2024-11-06 00:15:00,34.52078,2024-11-06 00:15:00,33.52078,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
SHORT_ORIG,2024-11-06 06:15:00,34.02078,2024-11-06 06:15:00,33.02078,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
